 Event ID : 19
-7.36236 60.9599 50 25 21515
-9.81648 62.3091 50 25 7091.21
-14.7247 269.378 66 33 999.517
-7.36236 58.0584 66 33 4186.38
-12.2706 60.9599 70 35 457.584
-19.6329 260.876 72 36 730.372
-24.5412 252.375 78 39 521.991
-29.4494 243.874 84 42 650.888
-34.3576 235.372 88 44 647.598
-12.2706 58.0584 94 47 3766.09
-39.2659 226.871 94 47 975.953
-9.81648 56.7093 96 48 23916.8
-44.1741 218.37 100 50 674.83
-44.1741 206.899 104 52 838.616
-39.2659 215.4 106 53 112.083
-44.1741 201.367 108 54 269.364
-49.0823 198.398 110 55 506.769
-49.0824 192.866 114 57 3790.53
-49.0824 181.395 122 61 462.586
-49.0824 175.863 124 62 202.762
-53.9906 172.894 126 63 550.173
-53.9906 167.362 130 65 1398.92
-53.9906 155.891 134 67 787.604
-53.9906 150.359 138 69 557.384
-9.81648 53.8078 138 69 8074.49
-53.9906 138.889 144 72 394.045
-53.9906 130.32 150 75 385.094
-53.9906 124.72 152 76 180.676
-14.7247 53.8078 152 76 541.748
-53.9906 133.221 152 76 276.455
-53.9906 121.818 154 77 199.117
-51.5365 117.568 158 79 317.267
-53.9906 116.218 158 79 418.255
-53.9906 113.317 160 80 205.681
-51.5365 120.469 160 80 60.7826
-51.5365 111.968 162 81 252.431
-51.5365 109.066 164 82 387.393
-51.5365 103.467 166 83 272.194
-49.0824 96.3143 168 84 179.658
-49.0824 99.2159 170 85 254.586
-49.0824 87.813 172 86 66.3463
-46.6282 86.4639 172 86 188.742
-49.0824 90.7145 172 86 328.347
-12.2706 52.4586 176 88 21248.2
-46.6282 83.5624 178 89 207.686
-41.72 77.9626 178 89 58.7627
-46.6282 92.0637 178 89 58.9387
-41.72 75.0611 180 90 189.552
-44.1741 79.3117 180 90 257.196
-44.1741 82.2132 182 91 63.7063
-41.72 69.4613 186 93 374.09
-39.2659 65.2106 190 95 401.174
-36.8118 60.9599 192 96 130.892
-39.2659 62.3091 192 96 215.988
-36.8118 58.0584 192 96 130.528
